"COMMON_NAME","SPECIES_CODE","YEAR","STRATUM","BIOMASS","stratum_resid_mean","stratum_resid_sd","n","stratum_resid_se","weighted_resid_mean","weighted_resid_se"
"Alaska plaice",10285,2004,10,67935.8,0.020835328017583,0.148021539986438,134,0.0127871134700212,0.00301140957448948,0.00184817037203393
"Alaska plaice",10285,2004,20,50107.6,0.0163504955623963,0.103883237506163,63,0.0130880577061697,0.00174303180930434,0.00139524216968267
"Alaska plaice",10285,2004,30,148050.79,-0.0102986951330131,0.0928010284418782,136,0.00795762253877591,-0.00324387209751377,0.00250648352851374
"Alaska plaice",10285,2004,40,203939.74,0.0157831294173481,0.0843274675255508,180,0.00628539832525125,0.00684803182136302,0.00272712759321051
"Alaska plaice",10285,2005,10,68829.06,0.0478203115134525,0.137844470768447,82,0.0152223752679391,0.00668699530581042,0.00212863422964859
"Alaska plaice",10285,2005,20,43869.84,0.0161932865545884,0.0911309757490747,126,0.00811859258512958,0.00144327081832583,0.000723591701072806
"Alaska plaice",10285,2005,30,152369.58,0.0422333673043143,0.106684090489321,134,0.00921610172855888,0.0130737675484827,0.00285293784021905
"Alaska plaice",10285,2005,40,227144.68,0.032095733865087,0.0753129979690127,198,0.00535226170596071,0.0148114186913457,0.00246994162544679
"Alaska plaice",10285,2006,10,93229.85,-0.0223914595103154,0.110286618150016,99,0.0110842221757819,-0.00327885488931316,0.00162309902391815
"Alaska plaice",10285,2006,20,96148.7,-0.0440271771343376,0.0847075484207964,89,0.00897898217465802,-0.00664888874997654,0.00135598640324279
"Alaska plaice",10285,2006,30,148428.55,-0.0144479478586767,0.0974613695927624,260,0.00604429755506952,-0.0033682818046499,0.0014091203592214
"Alaska plaice",10285,2006,40,298864.08,0.0355881201232998,0.0593402941522655,36,0.00989004902537759,0.0167056576670857,0.0046425541095238
"Alaska plaice",10285,2007,10,82703.26,-0.026108526704551,0.0894946758095481,139,0.00759083932869566,-0.00511939914143735,0.00148842317997743
"Alaska plaice",10285,2007,20,63412.87,-0.0959905487774009,0.0852707562057007,37,0.0140184259669792,-0.0144317793688994,0.00210761198088206
"Alaska plaice",10285,2007,30,141708.19,-0.0145906203755875,0.0994001102700391,156,0.00795837807278172,-0.0049021060893345,0.00267382829568263
"Alaska plaice",10285,2007,40,129367.51,-0.0282164284816325,0.105461248843806,180,0.00786061738022574,-0.00865448556278667,0.00241099257746379
"Alaska plaice",10285,2007,60,4588.19,0.0262498278890893,0.118346280914362,24,0.0241573334330222,0.000285549793995554,0.000262787307194063
"Alaska plaice",10285,2008,10,87660.72,-0.0353473890931981,0.0934221876764367,162,0.00733994026881008,-0.00609204208716117,0.00126502200535781
"Alaska plaice",10285,2008,20,95779.09,-0.0414430471374689,0.108849485685997,24,0.0222188082245895,-0.00780410146792397,0.00418400300793206
"Alaska plaice",10285,2008,30,153100.93,-0.0494809092275819,0.100593476796767,228,0.00666196574634949,-0.014894160216535,0.00200530642488452
"Alaska plaice",10285,2008,40,167996.11,-0.0928935408107395,0.111918889408732,81,0.0124354321565258,-0.0306821129152826,0.00410733975954494
"Alaska plaice",10285,2008,60,4090.23,0.0504090643632017,0.0944805077344071,12,0.0272741732868162,0.000405374930745525,0.000219330912941038
"Alaska plaice",10285,2009,10,181193.81,-0.035260111863138,0.104088713571643,224,0.00695471971455601,-0.0121320174373526,0.00239292436667228
"Alaska plaice",10285,2009,20,118289.09,-0.0230722805133613,0.0915305833979366,145,0.00760120121957441,-0.0051825225087182,0.00170739066694892
"Alaska plaice",10285,2009,30,85957.16,-0.0354961018582525,0.100858551560828,216,0.00686255520889487,-0.00579386942014843,0.00112014409153078
"Alaska plaice",10285,2009,40,141175.9,-0.0637339944024859,0.104532249016972,282,0.00622480484314732,-0.0170858931437739,0.00166875387911844
"Alaska plaice",10285,2010,10,103635.64,7.61954422681245e-05,0.0974403391766658,180,0.00726277407165536,1.59312266876219e-05,0.00151852783673556
"Alaska plaice",10285,2010,20,106871.87,-0.0483567199232885,0.101002862041811,144,0.00841690517015094,-0.0104263267842656,0.00181479231749763
"Alaska plaice",10285,2010,30,120088.75,0.00386320270734382,0.0904189911631568,298,0.00523783152366948,0.000935967805162118,0.00126900969128503
"Alaska plaice",10285,2010,40,165069.49,-0.0230707801038369,0.106857298421267,345,0.00575300355728387,-0.00768316532994765,0.00191589869416847
"Alaska plaice",10285,2011,10,85996.31,-0.000384239706100507,0.107935015890979,181,0.00802274654868595,-6.36812595707838e-05,0.00132963511403437
"Alaska plaice",10285,2011,20,78897.15,-0.0208159947163709,0.0759278898083807,106,0.00737476859295004,-0.00316510463055323,0.00112134512622869
"Alaska plaice",10285,2011,30,222802.2,0.00654000160647838,0.102874468855662,258,0.00640468467787461,0.00280819276874229,0.00275008941598209
"Alaska plaice",10285,2011,40,129480.06,-0.0106021364008747,0.103589324904701,366,0.00541470075317926,-0.00264561025974167,0.00135116049486594
"Alaska plaice",10285,2011,60,1708.44,-0.0336491054945083,0.074109246106297,14,0.0198065291515624,-0.000110790581448927,6.52135279359758e-05
"Alaska plaice",10285,2012,10,94511.11,-0.0154325579892794,0.0994862430843003,132,0.00865916599797688,-0.00251331753348213,0.00141021558079781
"Alaska plaice",10285,2012,20,111620.81,-0.0290959869849775,0.109057686124267,118,0.0100395737732722,-0.00559634968242374,0.00193102112420968
"Alaska plaice",10285,2012,30,152413.5,-0.0198378540320431,0.110840955859481,230,0.00730863619462662,-0.00521008377146118,0.0019194922378011
"Alaska plaice",10285,2012,40,221782.44,-0.011515293267256,0.104432751415825,312,0.00591234030203349,-0.00440077069215255,0.00225950423661432
"Alaska plaice",10285,2013,10,58903.05,-0.00152819808575696,0.100978094224771,116,0.00937558067777154,-0.000178906073650649,0.00109759876215534
"Alaska plaice",10285,2013,20,81108.74,0.0268834307538973,0.105411557981389,127,0.009353763214248,0.00433371149273998,0.00150786227818332
"Alaska plaice",10285,2013,30,221791.92,0.00271979531335358,0.0924676045046533,368,0.00482020709313728,0.00119891830692723,0.0021248049435077
"Alaska plaice",10285,2013,40,141340.35,0.0301196467723509,0.114388597723989,255,0.00716329185179293,0.00846103880602397,0.00201227095373949
"Alaska plaice",10285,2014,10,55593.92,0.0274266778652063,0.0970110560938575,127,0.00860833921102162,0.00343965970559538,0.00107959694067837
"Alaska plaice",10285,2014,20,59356.04,0.0369507465724557,0.138209855217508,93,0.0143316943596242,0.0049476971874962,0.00191901085776777
"Alaska plaice",10285,2014,30,180640.43,0.0210020040843745,0.107623837550345,296,0.00625550849388798,0.00855836239707523,0.00254913333287594
"Alaska plaice",10285,2014,40,147696.64,0.0233338003339615,0.118665184098769,312,0.00671809313537885,0.00777447494404922,0.0022383686328529
"Alaska plaice",10285,2016,10,33333.8,0.0288054114000328,0.0887417458847337,154,0.00715101367016232,0.00227367499452987,0.000564445365545823
"Alaska plaice",10285,2016,20,36048.48,0.0528338904204055,0.0909669534989229,57,0.0120488673332955,0.00450992195372637,0.00102849612003924
"Alaska plaice",10285,2016,30,157151.65,0.00077279166467287,0.0984975766511637,236,0.00641164611923261,0.000287574817127083,0.00238593147999649
"Alaska plaice",10285,2016,40,195775.25,0.036171782290554,0.106321454363055,369,0.00553487383244871,0.0167686142197496,0.00256587201885146
"Alaska plaice",10285,2017,10,84530.93,0.0235266520316217,0.105861142144251,146,0.00876113046127541,0.00407531027851834,0.0015176118120116
"Alaska plaice",10285,2017,20,67005.31,0.0471137000477228,0.085857619955277,184,0.00632950771850489,0.00646906235177412,0.000869088610012975
"Alaska plaice",10285,2017,30,132593.32,0.00091080331897093,0.0980276191847908,304,0.00562226954871569,0.000247474897584182,0.00152763011703901
"Alaska plaice",10285,2017,40,203865.13,0.0391493599762627,0.102716210141418,192,0.00741290394691075,0.0163550741934868,0.00309682186667743
"Alaska plaice",10285,2018,10,51258.07,0.0132019144738452,0.102054140773633,140,0.00862514912874993,0.00163616685865009,0.00106894974841213
"Alaska plaice",10285,2018,20,40804.23,0.0148913601814642,0.100908289031302,103,0.00994278915920071,0.00146915623249509,0.000980938643859198
"Alaska plaice",10285,2018,30,134603.82,-0.0309850087878865,0.0914988866376197,196,0.00653563475982998,-0.0100841067771129,0.00212702985580891
"Alaska plaice",10285,2018,40,186925.35,-0.009283386014962,0.108855497682365,219,0.00735577286282525,-0.00419568657939652,0.00332448930076849
"Alaska plaice",10285,2019,10,48294.88,-0.00588407781736135,0.115137819493237,170,0.00883066764435407,-0.000794104135958234,0.00119177038736017
"Alaska plaice",10285,2019,20,31114.38,0.0279202475537033,0.103719673809399,94,0.0106978675222046,0.00242760696629913,0.000930157143896974
"Alaska plaice",10285,2019,30,116132.4,0.0309449803184576,0.103340500388404,338,0.00562098219968088,0.010042493772923,0.00182416269640787
"Alaska plaice",10285,2019,40,157316.32,0.018509375189968,0.134671907506835,156,0.0107823819592394,0.00813698464529264,0.00474008849793936
"Alaska plaice",10285,2019,60,4992.86,-0.0752900633935473,0.0837889315311734,12,0.0241877810873171,-0.00105047328075325,0.00033747637613376
"arrowtooth flounder",10110,2004,30,172677.09,0.0329410487788802,0.0845275002372963,222,0.00567311436163663,0.0111366610390793,0.00191795811073225
"arrowtooth flounder",10110,2004,40,31300.37,-0.00381838564193047,0.0868295154709469,141,0.0073123643259133,-0.000233997985072707,0.000448115690461318
"arrowtooth flounder",10110,2004,50,136411.62,-0.0113261945906815,0.0997222896572748,196,0.00712302068980534,-0.0030249502991924,0.00190238507684723
"arrowtooth flounder",10110,2004,60,170371.23,0.0180316669654767,0.0962730842674935,436,0.00461064453353581,0.00601471418141052,0.00153794483418508
"arrowtooth flounder",10110,2005,30,219276.7,0.0119897367767324,0.0766359596436227,434,0.00367864378137842,0.00408391432307716,0.00125301049622912
"arrowtooth flounder",10110,2005,40,56691.09,0.00814092120621095,0.134024299480093,222,0.00899512201418819,0.000716907040782747,0.000792129802183999
"arrowtooth flounder",10110,2005,50,146451.91,0.0335572016254949,0.0913183361656405,105,0.00891175709255873,0.00763405464667784,0.00202736930813756
"arrowtooth flounder",10110,2005,60,221342.56,0.0186803707919961,0.0780429065690375,216,0.00531014719827343,0.00642280753278336,0.00182576961694317
"arrowtooth flounder",10110,2006,10,2522.95,0.0253741836466473,0.16362056734776,12,0.0472331893015942,0.000105338847064497,0.000196084720340017
"arrowtooth flounder",10110,2006,30,212049.76,0.0258311061278136,0.133683603602168,332,0.00733684091107356,0.00901298456210739,0.00255996911394134
"arrowtooth flounder",10110,2006,40,31148.58,0.00144839666793755,0.085811391378626,153,0.00693743981441749,7.42358367571876e-05,0.000355570170089702
"arrowtooth flounder",10110,2006,50,182627.59,0.0417056501714954,0.101233954105464,121,0.00920308673686035,0.0125328292365335,0.00276558965146906
"arrowtooth flounder",10110,2006,60,179383.2,0.00557214277260349,0.084869244724482,508,0.00376546383777491,0.00164471949778673,0.0011114452814542
"arrowtooth flounder",10110,2008,30,147384.65,-0.0266973808838511,0.0946494623182566,544,0.00405806221802005,-0.00744570146666809,0.00113176344675889
"arrowtooth flounder",10110,2008,40,29587.08,-0.0446728250797176,0.0808885507875509,66,0.00995669231959712,-0.0025010952488967,0.000557444840590056
"arrowtooth flounder",10110,2008,50,171327.67,-0.0402593469087249,0.0965382731135193,173,0.00733966899118985,-0.0130520563915071,0.00237951633406267
"arrowtooth flounder",10110,2008,60,180164.46,-0.0261141146320085,0.162798577242194,540,0.00700573531605864,-0.00890285167476525,0.00238840271900643
"arrowtooth flounder",10110,2009,10,622.65,0.0259277191960419,0.0647933286034175,24,0.0132258828179043,3.97332380886521e-05,2.02681596079853e-05
"arrowtooth flounder",10110,2009,30,74598.13,-0.0161115738874457,0.0860199327550652,202,0.00605234134843287,-0.00295809120944663,0.00111121221703363
"arrowtooth flounder",10110,2009,40,14479.16,0.0120403013603024,0.0768714727689161,63,0.00968489523151551,0.000429068248101326,0.000345130981831745
"arrowtooth flounder",10110,2009,50,158197.14,0.00875787426431282,0.0765604156555845,203,0.00537348775626945,0.00340991054719084,0.0020921872160198
"arrowtooth flounder",10110,2009,60,158409.96,0.00984164069708988,0.0978597020733188,620,0.00393014021129648,0.00383703395629172,0.00153227311460286
"arrowtooth flounder",10110,2010,10,2715.17,0.0616287133748462,0.140186163584351,28,0.0264926947211722,0.000319094565118422,0.000137171043137791
"arrowtooth flounder",10110,2010,30,127320.49,0.00944185033214483,0.0929166584710236,218,0.00629311019115964,0.00229242266177927,0.00152792809754392
"arrowtooth flounder",10110,2010,40,31231.93,-0.0183650945138537,0.0769955459115863,264,0.00473874827251241,-0.00109378325432184,0.000282229067920709
"arrowtooth flounder",10110,2010,50,144112.64,-0.0086429985438293,0.100182797073181,175,0.00757310762007103,-0.00237523067689569,0.00208120797977777
"arrowtooth flounder",10110,2010,60,219017.4,0.012151066553903,0.0922046206078471,564,0.0038825149188054,0.00507495620043665,0.00162155256685269
"arrowtooth flounder",10110,2011,30,134059.39,-0.00560785480649357,0.105057563083879,436,0.00503134476915093,-0.00144766700865441,0.00129884101546845
"arrowtooth flounder",10110,2011,40,41719.32,-0.101236902472827,0.353275120824011,132,0.0307486524702549,-0.00813299953180548,0.00247023338363554
"arrowtooth flounder",10110,2011,50,140565.11,-0.0143107010914357,0.0837027323588779,233,0.00548354831879484,-0.00387358530942756,0.00148427334730174
"arrowtooth flounder",10110,2011,60,202964.55,-0.0334439213402246,0.114198353861739,428,0.00551998578335457,-0.0130710977083887,0.002157410693236
"arrowtooth flounder",10110,2012,30,79333.39,-0.0325690364559676,0.0963457333381128,306,0.00550771898400126,-0.00643635126771089,0.00108844528184918
"arrowtooth flounder",10110,2012,40,14763.38,0.00992064840414608,0.0353239825930358,24,0.00721047775299107,0.000364841868811946,0.000265172604779421
"arrowtooth flounder",10110,2012,50,116105.46,-0.0234813106324943,0.095838144203639,187,0.00700837920356406,-0.00679131371246458,0.00202697807342368
"arrowtooth flounder",10110,2012,60,191238.27,-0.0386513816350432,0.0890701415496076,538,0.00384008647760895,-0.0184127494784294,0.00182934082293224
"arrowtooth flounder",10110,2014,30,88657.71,0.0240600587009015,0.107376138730495,176,0.00809378099105,0.00505068409071941,0.00169904535119574
"arrowtooth flounder",10110,2014,50,99259.69,0.018059599083273,0.103062217690457,108,0.00991716652114419,0.00424441687554412,0.0023307598771067
"arrowtooth flounder",10110,2014,60,234423.35,-0.00989050692534884,0.102292925803391,388,0.00519313649673855,-0.00548979885705671,0.00288248873586722
"arrowtooth flounder",10110,2015,30,91640.19,-0.0147972582368601,0.0839395354970832,312,0.00475214041500562,-0.00332487618926603,0.0010677841976524
"arrowtooth flounder",10110,2015,40,37230.41,0.00644785900044165,0.0564437181783666,123,0.00508935867491593,0.000588601811870673,0.000464589212808478
"arrowtooth flounder",10110,2015,50,76188.08,0.00161506575820322,0.0918624086212227,141,0.00773621038941602,0.000301707066703575,0.00144518533201342
"arrowtooth flounder",10110,2015,60,202783.14,0.00509295956271517,0.0857062802367803,506,0.00381010889432464,0.00253227178130092,0.00189442525862865
"arrowtooth flounder",10110,2016,10,9639.2,-0.0307737976846696,0.0959829660227799,39,0.0153695751459642,-0.000632001825819519,0.000315645135964439
"arrowtooth flounder",10110,2016,30,111574.17,-0.0375702447943549,0.0890873217428542,440,0.00424707142289484,-0.00893107912185862,0.00100960031327126
"arrowtooth flounder",10110,2016,40,85785.74,-0.00377901775350502,0.0856413603403294,477,0.00392124851789351,-0.00069070131267654,0.000716697214806135
"arrowtooth flounder",10110,2016,50,66006.84,-0.0673235699829777,0.0952754676799679,75,0.0110014633824394,-0.00946787088045663,0.0015471614893171
"arrowtooth flounder",10110,2016,60,196351.54,-0.00556062985351163,0.0906194474526946,384,0.0046244043131678,-0.00232624014396145,0.00193457849894574
"arrowtooth flounder",10110,2017,10,2900.41,-0.0229377519471534,0.105642564887502,11,0.0318524317838743,-0.000160875997240042,0.000223399910311922
"arrowtooth flounder",10110,2017,30,103922.99,-0.0467654760980521,0.0873522336337996,230,0.00575983571656341,-0.0117521682348686,0.00144744721949015
"arrowtooth flounder",10110,2017,40,59709.23,-0.019776715199592,0.0791048745599018,264,0.0048685684766557,-0.002855463652483,0.000702948906550553
"arrowtooth flounder",10110,2017,50,98678.58,-0.0508009076181385,0.0741515654144978,61,0.00949413507781233,-0.012122030409698,0.00226547515631255
"arrowtooth flounder",10110,2017,60,148330.19,-0.0141980355378429,0.0939222687444281,370,0.00488278624660158,-0.00509259123501298,0.00175137147499089
"arrowtooth flounder",10110,2018,10,7087.1,-0.0272231051424792,0.110357126083801,33,0.0192107098266755,-0.000392122617936272,0.000276711778109969
"arrowtooth flounder",10110,2018,30,158673.55,-0.0313927972372028,0.0909733559397801,410,0.00449285380841293,-0.0101239554518444,0.00144891363022974
"arrowtooth flounder",10110,2018,40,112756.69,-0.0176223642133418,0.0813237399571882,585,0.00336232283379721,-0.00403851930837467,0.000770543924804292
"arrowtooth flounder",10110,2018,50,102652.76,-0.0149285703167949,0.102478456096643,74,0.0119128785433469,-0.00311461607629052,0.0024854384739215
"arrowtooth flounder",10110,2018,60,110851.68,-0.0274393958908328,0.0848406802206686,372,0.00439878435684522,-0.00618204977162578,0.00099103872172897
"arrowtooth flounder",10110,2019,10,3226.12,0.000722230529440636,0.202440866287506,18,0.0477157697803916,4.08786041012782e-06,0.000270073609841869
"arrowtooth flounder",10110,2019,30,195252.91,0.0667337780969678,0.0794239735578709,382,0.00406368400409462,0.0228603526341448,0.00139205739546698
"arrowtooth flounder",10110,2019,40,115259.37,0.0399066666230129,0.0800637253440679,429,0.00386551308528613,0.00806977436220844,0.000781669355827248
"arrowtooth flounder",10110,2019,50,137419.06,0.0774732666719454,0.0751524351682677,72,0.00885679942169407,0.0186783512942066,0.00213532251894361
"arrowtooth flounder",10110,2019,60,118823.44,0.0133330043480645,0.0848669441214661,360,0.00447288069136784,0.00277952022983924,0.000932457684911731
"flathead sole",10130,1997,30,267938.89,-0.0233833995108043,0.157533431651236,370,0.00818977313612045,-0.0233833995108043,0.00818977313612045
"flathead sole",10130,1999,30,140678.72,-0.0254499471556323,0.208551287232428,278,0.01250807500419,-0.00945764736342755,0.00464822036216885
"flathead sole",10130,1999,40,37705.58,-0.0949359812129567,0.0895253499489766,255,0.00560629488059478,-0.00945593096647925,0.00055840511354398
"flathead sole",10130,1999,50,41047.49,-0.0606989563931193,0.107729622153063,43,0.0164286133608138,-0.00658166318905664,0.00178137494002071
"flathead sole",10130,1999,60,159125.99,-0.0419226405789264,0.121414317521241,280,0.00725589329420987,-0.0176220963825808,0.00304999993336686
"flathead sole",10130,2000,10,10446.4,-0.0637050094737143,0.0923782546540162,21,0.0201585878342827,-0.00173216997166454,0.000548121738088971
"flathead sole",10130,2000,30,156042.54,-0.0208101561464272,0.0903979458381273,216,0.00615080114164339,-0.00845217770714378,0.00249818713154626
"flathead sole",10130,2000,40,49594.45,-0.124894611809905,0.148637544164015,192,0.0107269907668473,-0.0161223019422537,0.00138471773576676
"flathead sole",10130,2000,50,45413.58,-0.0166863045863693,0.168755329385843,59,0.0219700725549531,-0.00197240536692784,0.00259697339185466
"flathead sole",10130,2000,60,122696.28,-0.0215256115536616,0.129257665827715,282,0.00769718198761459,-0.0068744374409475,0.00245817852438406
"flathead sole",10130,2001,10,20930.58,-0.0310028883495815,0.0818997386803457,61,0.010486187007951,-0.00128937412525425,0.000436108340880174
"flathead sole",10130,2001,30,161185.69,-0.0621234880120647,0.121277409172716,244,0.00776399053840987,-0.0198965531247948,0.0024866061959991
"flathead sole",10130,2001,40,73107.46,-0.0669585203571039,0.0818277059295839,174,0.00620334237757674,-0.00972664520810834,0.000901120725029741
"flathead sole",10130,2001,50,58985.37,-0.0873471660672893,0.119905110345608,44,0.0180763755210247,-0.0102373760934437,0.00211861085993894
"flathead sole",10130,2001,60,189064.87,-0.00957994843649551,0.104985294385161,502,0.004685723004402,-0.00359889804305342,0.00176028498092852
"flathead sole",10130,2002,30,157469.97,0.0354516287265419,0.0941138184872167,264,0.00579230511967489,0.0106009809944201,0.00173205346815515
"flathead sole",10130,2002,40,109137.93,-0.0233297121386858,0.0876712155977688,279,0.00524873838549725,-0.00483500815807545,0.00108778422822463
"flathead sole",10130,2002,50,62044.51,0.0701580485996024,0.111241837991602,84,0.0121374795962507,0.0082659538966793,0.00143002618754511
"flathead sole",10130,2002,60,197956.11,0.0334710164385787,0.0940154931362809,130,0.00824570421942801,0.012582007241218,0.00309962233707984
"flathead sole",10130,2003,10,14514.58,0.0601569037680669,0.125610430489446,28,0.0237381400822029,0.00171512862871397,0.000676796196233441
"flathead sole",10130,2003,30,203816.71,0.017308643706844,0.111070990509494,444,0.0052711959369118,0.00692962243711271,0.00211035585765729
"flathead sole",10130,2003,40,74031.4,0.0101026790643542,0.102482192913184,411,0.00505507378376964,0.00146912675035854,0.00073510640825715
"flathead sole",10130,2003,50,59687.69,-0.0226607687287793,0.0862044444312508,88,0.00918942465289004,-0.00265684462587322,0.00107740711694792
"flathead sole",10130,2003,60,157038.08,0.0534837921181486,0.100345034389745,162,0.0078838504750429,0.0164980994174435,0.00243192458459543
"flathead sole",10130,2004,10,26858.07,-0.0156194773774374,0.0712648976507198,23,0.0148597583764772,-0.000694388688263456,0.000660614172780142
"flathead sole",10130,2004,30,219315.28,-0.0044883266394702,0.166883370244437,350,0.00892029135721184,-0.00162935112049144,0.00323824175142895
"flathead sole",10130,2004,40,118014.06,0.00152207604465978,0.0746140310005771,447,0.00352912256656416,0.000297325008515873,0.00068938500204291
"flathead sole",10130,2004,50,58341.38,-0.00408757916151044,0.114495734917109,97,0.0116252805372242,-0.000394733705744596,0.00112264249460636
"flathead sole",10130,2004,60,181612.7,0.0543043109319301,0.122260282990481,66,0.0150492005208535,0.0163245741158869,0.00452398318055198
"flathead sole",10130,2005,10,32872.54,0.0187023686243134,0.103212585843571,39,0.0165272408205802,0.00101606572091282,0.000897894977710564
"flathead sole",10130,2005,30,238031.35,-0.0326441236637663,0.0970473994223743,224,0.00648425212349871,-0.0128419536677933,0.00255085620303197
"flathead sole",10130,2005,40,95361.32,0.0383461060438056,0.112069418806151,120,0.0102304914477705,0.0060434571546661,0.00161235502413592
"flathead sole",10130,2005,50,68423.48,0.011794351054792,0.0752121131959383,69,0.00905447440947648,0.00133373986831307,0.0010239065676812
"flathead sole",10130,2005,60,170384.73,-0.0560796191411331,0.158685232788714,410,0.00783690504883213,-0.0157916551116471,0.00220682136521697
"flathead sole",10130,2006,10,12896.88,0.013789501510794,0.0977778028981421,30,0.0178517027568688,0.000286227038876386,0.000370545665845884
"flathead sole",10130,2006,30,204069.59,-0.00846006252491168,0.0844059126430529,230,0.00556556106359797,-0.00277862089117825,0.001827951530725
"flathead sole",10130,2006,40,109192.16,0.0365198658331068,0.093114211011903,159,0.00738443726958836,0.00641797561189009,0.00129773582740784
"flathead sole",10130,2006,50,87964.42,-0.0123785967360053,0.0907605941197123,142,0.00761645986531947,-0.00175249137966075,0.00107829510421647
"flathead sole",10130,2006,60,207207.3,-0.0170513301493916,0.107249243667863,300,0.00619203797020246,-0.00568644374391824,0.00206498116388992
"flathead sole",10130,2007,10,15922.6,-0.0214244821233631,0.0688178761479678,33,0.0119796545676878,-0.000617959841762475,0.000345536727487319
"flathead sole",10130,2007,30,198244.03,-0.0179426440590199,0.120909067620968,326,0.00669653390634356,-0.00644350982109373,0.00240483965745955
"flathead sole",10130,2007,40,80755.81,-0.0295041740632501,0.0524265503231403,48,0.00756712073543712,-0.0043161166575973,0.00110698153374005
"flathead sole",10130,2007,50,63551.07,0.0338291032214479,0.102173200275806,101,0.01016661341172,0.00389447829390008,0.00117040215329487
"flathead sole",10130,2007,60,193558.25,0.0118967216415785,0.0978947412083791,474,0.00449645438289067,0.00417133358718539,0.00157658653834908
"flathead sole",10130,2008,10,7984.16,-0.0321228916400123,0.0758428440509919,16,0.018960711012748,-0.000479085445251459,0.000282782782435185
"flathead sole",10130,2008,30,166175.2,-0.00673641368832564,0.094127147582042,572,0.00393565375451204,-0.0020910483395584,0.00122166521077993
